Time	R_planet	M_planet	T_surf	T_magma	T_eqm	T_skin	F_int	F_atm	F_net	F_olr	F_sct	F_ins	gravity	Phi_global	RF_depth	M_core	M_mantle	M_mantle_solid	M_mantle_liquid	R_star	age_star	z_obs	rho_obs	transit_depth	contrast_ratio	esc_rate_total	M_atm	P_surf	atm_kg_per_mol	H2O_mol_atm	H2O_mol_solid	H2O_mol_liquid	H2O_mol_total	H2O_kg_atm	H2O_kg_solid	H2O_kg_liquid	H2O_kg_total	H2O_vmr	H2O_bar	CO2_mol_atm	CO2_mol_solid	CO2_mol_liquid	CO2_mol_total	CO2_kg_atm	CO2_kg_solid	CO2_kg_liquid	CO2_kg_total	CO2_vmr	CO2_bar	H2_mol_atm	H2_mol_solid	H2_mol_liquid	H2_mol_total	H2_kg_atm	H2_kg_solid	H2_kg_liquid	H2_kg_total	H2_vmr	H2_bar	CH4_mol_atm	CH4_mol_solid	CH4_mol_liquid	CH4_mol_total	CH4_kg_atm	CH4_kg_solid	CH4_kg_liquid	CH4_kg_total	CH4_vmr	CH4_bar	CO_mol_atm	CO_mol_solid	CO_mol_liquid	CO_mol_total	CO_kg_atm	CO_kg_solid	CO_kg_liquid	CO_kg_total	CO_vmr	CO_bar	N2_mol_atm	N2_mol_solid	N2_mol_liquid	N2_mol_total	N2_kg_atm	N2_kg_solid	N2_kg_liquid	N2_kg_total	N2_vmr	N2_bar	S2_mol_atm	S2_mol_solid	S2_mol_liquid	S2_mol_total	S2_kg_atm	S2_kg_solid	S2_kg_liquid	S2_kg_total	S2_vmr	S2_bar	SO2_mol_atm	SO2_mol_solid	SO2_mol_liquid	SO2_mol_total	SO2_kg_atm	SO2_kg_solid	SO2_kg_liquid	SO2_kg_total	SO2_vmr	SO2_bar	H_kg_atm	H_kg_solid	H_kg_liquid	H_kg_total	O_kg_atm	O_kg_solid	O_kg_liquid	O_kg_total	C_kg_atm	C_kg_solid	C_kg_liquid	C_kg_total	N_kg_atm	N_kg_solid	N_kg_liquid	N_kg_total	S_kg_atm	S_kg_solid	S_kg_liquid	S_kg_total	H/O_atm	H/C_atm	H/N_atm	H/S_atm	O/C_atm	O/N_atm	O/S_atm	C/N_atm	C/S_atm	N/S_atm
0.000000e+00	6.335439e+06	5.972000e+24	2.700086e+03	2.707943e+03	2.798065e+02	2.352883e+02	8.000000e+04	1.571611e+03	7.842839e+04	1.776977e+03	2.635087e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	1.903021e+24	4.135019e+24	0.000000e+00	4.135019e+24	6.165788e+08	1.000000e+08	6.820560e+06	4.493473e+03	1.223666e-04	3.639858e-09	0.000000e+00	1.506303e+20	3.000000e+01	1.801528e-02	8.361250e+21	0.000000e+00	6.587617e+23	6.671230e+23	1.506303e+20	0.000000e+00	1.186778e+22	1.201841e+22	1.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.685628e+19	0.000000e+00	1.328064e+21	1.344920e+21	1.337716e+20	0.000000e+00	1.053953e+22	1.067330e+22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.260079e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	6.335439e+06	5.972000e+24	2.700085e+03	2.707943e+03	2.798065e+02	2.352883e+02	1.571611e+03	1.571609e+03	2.319336e-03	1.776976e+03	2.635087e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	1.903021e+24	4.135019e+24	0.000000e+00	4.135019e+24	6.165788e+08	1.000000e+08	6.820560e+06	4.493473e+03	1.223666e-04	3.639855e-09	0.000000e+00	1.506303e+20	3.000000e+01	1.801528e-02	8.361250e+21	0.000000e+00	6.587617e+23	6.671230e+23	1.506303e+20	0.000000e+00	1.186778e+22	1.201841e+22	1.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.685628e+19	0.000000e+00	1.328064e+21	1.344920e+21	1.337716e+20	0.000000e+00	1.053953e+22	1.067330e+22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.260079e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	6.335439e+06	5.972000e+24	2.700085e+03	2.707943e+03	2.798065e+02	2.352883e+02	1.571609e+03	1.571609e+03	3.662109e-04	1.776976e+03	2.635087e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	1.903021e+24	4.135019e+24	0.000000e+00	4.135019e+24	6.165788e+08	1.000000e+08	6.820560e+06	4.493473e+03	1.223666e-04	3.639855e-09	0.000000e+00	1.506303e+20	3.000000e+01	1.801528e-02	8.361250e+21	0.000000e+00	6.587617e+23	6.671230e+23	1.506303e+20	0.000000e+00	1.186778e+22	1.201841e+22	1.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.685628e+19	0.000000e+00	1.328064e+21	1.344920e+21	1.337716e+20	0.000000e+00	1.053953e+22	1.067330e+22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.260079e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	6.335439e+06	5.972000e+24	2.700085e+03	2.707943e+03	2.798065e+02	2.352883e+02	1.571609e+03	1.571609e+03	3.662109e-04	1.776976e+03	2.635087e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	1.903021e+24	4.135019e+24	0.000000e+00	4.135019e+24	6.165788e+08	1.000000e+08	6.820560e+06	4.493473e+03	1.223666e-04	3.639855e-09	0.000000e+00	1.506303e+20	3.000000e+01	1.801528e-02	8.361250e+21	0.000000e+00	6.587617e+23	6.671230e+23	1.506303e+20	0.000000e+00	1.186778e+22	1.201841e+22	1.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.685628e+19	0.000000e+00	1.328064e+21	1.344920e+21	1.337716e+20	0.000000e+00	1.053953e+22	1.067330e+22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.260079e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	6.335439e+06	5.972000e+24	2.700085e+03	2.707943e+03	2.798065e+02	2.352883e+02	1.571609e+03	1.571609e+03	3.662109e-04	1.776976e+03	2.635087e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	1.903021e+24	4.135019e+24	0.000000e+00	4.135019e+24	6.165788e+08	1.000000e+08	6.820560e+06	4.493473e+03	1.223666e-04	3.639855e-09	0.000000e+00	1.506303e+20	3.000000e+01	1.801528e-02	8.361250e+21	0.000000e+00	6.587617e+23	6.671230e+23	1.506303e+20	0.000000e+00	1.186778e+22	1.201841e+22	1.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.685628e+19	0.000000e+00	1.328064e+21	1.344920e+21	1.337716e+20	0.000000e+00	1.053953e+22	1.067330e+22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.260079e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.032900e+04	6.335439e+06	5.972000e+24	2.692265e+03	2.699994e+03	2.798066e+02	2.352884e+02	1.571609e+03	1.545882e+03	2.572693e+01	1.751235e+03	2.636569e+01	1.029865e+03	9.930493e+00	1.000000e+00	4.500000e-01	1.903021e+24	4.135019e+24	0.000000e+00	4.135019e+24	6.165792e+08	1.000103e+08	6.819025e+06	4.496508e+03	1.223114e-04	3.586306e-09	0.000000e+00	1.507235e+20	2.999953e+01	1.801528e-02	8.366426e+21	0.000000e+00	6.587565e+23	6.671230e+23	1.507235e+20	0.000000e+00	1.186768e+22	1.201841e+22	1.000000e+00	2.999953e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.686671e+19	0.000000e+00	1.328053e+21	1.344920e+21	1.338545e+20	0.000000e+00	1.053945e+22	1.067330e+22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.260079e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.913200e+04	6.335439e+06	5.972000e+24	2.672602e+03	2.680003e+03	2.798068e+02	2.352885e+02	1.545882e+03	1.480029e+03	6.585303e+01	1.685345e+03	2.640299e+01	1.029867e+03	9.930493e+00	9.999926e-01	4.500000e-01	1.903021e+24	4.135019e+24	3.065653e+19	4.134988e+24	6.165795e+08	1.000191e+08	6.815360e+06	4.503767e+03	1.221798e-04	3.449731e-09	0.000000e+00	1.509409e+20	2.999887e+01	1.801528e-02	8.378494e+21	0.000000e+00	6.587445e+23	6.671230e+23	1.509409e+20	0.000000e+00	1.186747e+22	1.201841e+22	1.000000e+00	2.999887e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.689104e+19	0.000000e+00	1.328029e+21	1.344920e+21	1.340475e+20	0.000000e+00	1.053925e+22	1.067330e+22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.260079e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.778000e+04	6.335439e+06	5.972000e+24	2.652930e+03	2.660022e+03	2.798069e+02	2.352886e+02	1.480029e+03	1.418336e+03	6.169299e+01	1.623614e+03	2.644092e+01	1.029869e+03	9.930493e+00	9.998636e-01	4.500000e-01	1.903021e+24	4.135019e+24	5.640114e+20	4.134454e+24	6.165798e+08	1.000278e+08	6.811612e+06	4.511205e+03	1.220453e-04	3.321738e-09	0.000000e+00	1.511688e+20	3.000546e+01	1.801528e-02	8.391145e+21	0.000000e+00	6.587318e+23	6.671230e+23	1.511688e+20	0.000000e+00	1.186724e+22	1.201841e+22	1.000000e+00	3.000546e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.691655e+19	0.000000e+00	1.328003e+21	1.344920e+21	1.342499e+20	0.000000e+00	1.053905e+22	1.067330e+22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.260079e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.664300e+04	6.335439e+06	5.972000e+24	2.633255e+03	2.640028e+03	2.798070e+02	2.352887e+02	1.418336e+03	1.354494e+03	6.384216e+01	1.559734e+03	2.647950e+01	1.029871e+03	9.930493e+00	9.995791e-01	4.500000e-01	1.903021e+24	4.135019e+24	1.740341e+21	4.133278e+24	6.165802e+08	1.000366e+08	6.808112e+06	4.518166e+03	1.219198e-04	3.189931e-09	0.000000e+00	1.514201e+20	3.002127e+01	1.801528e-02	8.405096e+21	0.000000e+00	6.587179e+23	6.671230e+23	1.514201e+20	0.000000e+00	1.186699e+22	1.201841e+22	1.000000e+00	3.002127e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.694467e+19	0.000000e+00	1.327975e+21	1.344920e+21	1.344731e+20	0.000000e+00	1.053883e+22	1.067330e+22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.260079e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.579600e+04	6.335439e+06	5.972000e+24	2.613588e+03	2.620070e+03	2.798071e+02	2.352888e+02	1.354494e+03	1.296337e+03	5.815735e+01	1.501538e+03	2.651875e+01	1.029873e+03	9.930493e+00	9.991359e-01	4.500000e-01	1.903021e+24	4.135019e+24	3.573264e+21	4.131445e+24	6.165805e+08	1.000458e+08	6.804313e+06	4.525738e+03	1.217836e-04	3.069542e-09	0.000000e+00	1.516979e+20	3.004651e+01	1.801528e-02	8.420514e+21	0.000000e+00	6.587025e+23	6.671230e+23	1.516979e+20	0.000000e+00	1.186671e+22	1.201841e+22	1.000000e+00	3.004651e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.697576e+19	0.000000e+00	1.327944e+21	1.344920e+21	1.347198e+20	0.000000e+00	1.053858e+22	1.067330e+22	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.260079e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
