z_obs,R_int,M_planet,transit_depth,bond_albedo,contrast_ratio,run_time,index
0.0,6345655.0,5.974548e+24,8.319725e-05,0.1111111,3.7496e-10,3.754549026489258,0.5
0.0,6345655.0,5.976e+24,8.319725e-05,0.1111111,3.7496e-10,3.827620029449463,1.4210526315789473
0.0,6345655.0,5.977245e+24,8.319725e-05,0.1111111,3.7496e-10,3.8889949321746826,2.3421052631578947
0.0,6345655.0,5.978378e+24,8.319725e-05,0.1111111,3.7496e-10,3.845487117767334,3.263157894736842
0.0,6345655.0,5.979446e+24,8.319725e-05,0.1111111,3.7496e-10,3.917102098464966,4.184210526315789
0.0,6345655.0,5.980476e+24,8.319725e-05,0.1111111,3.7496e-10,3.960186004638672,5.105263157894736
0.0,6345655.0,5.981484e+24,8.319725e-05,0.1111111,3.7496e-10,3.945455312728882,6.026315789473684
0.0,6345655.0,5.982477e+24,8.319725e-05,0.1111111,3.7496e-10,3.9198057651519775,6.947368421052632
0.0,6345655.0,5.983462e+24,8.319725e-05,0.1111111,3.7496e-10,3.9380099773406982,7.868421052631579
0.0,6345655.0,5.984442e+24,8.319725e-05,0.1111111,3.7496e-10,3.9878458976745605,8.789473684210526
0.0,6345655.0,5.98542e+24,8.319725e-05,0.1111111,3.7496e-10,4.021943807601929,9.710526315789473
0.0,6345655.0,5.986396e+24,8.319725e-05,0.1111111,3.7496e-10,3.968914031982422,10.631578947368421
0.0,6345655.0,5.987373e+24,8.319725e-05,0.1111111,3.7496e-10,4.000899791717529,11.552631578947368
0.0,6345655.0,5.988351e+24,8.319725e-05,0.1111111,3.7496e-10,4.064968824386597,12.473684210526315
0.0,6345655.0,5.989329e+24,8.319725e-05,0.1111111,3.7496e-10,4.005496978759766,13.394736842105264
0.0,6345655.0,5.990309e+24,8.319725e-05,0.1111111,3.7496e-10,4.050949811935425,14.31578947368421
0.0,6345655.0,5.99129e+24,8.319725e-05,0.1111111,3.7496e-10,4.044363975524902,15.236842105263158
0.0,6345655.0,5.992273e+24,8.319725e-05,0.1111111,3.7496e-10,4.078756093978882,16.157894736842103
0.0,6345655.0,5.993257e+24,8.319725e-05,0.1111111,3.7496e-10,4.004386901855469,17.07894736842105
0.0,6345655.0,5.994243e+24,8.319725e-05,0.1111111,3.7496e-10,4.058694124221802,18.0
